,DIVISION,SUBDIVISION,PREFIX,MILEPOST,TRACK TYPE,TRACK CODE,SIDE,DEFECT TYPE,SIZE,DATE FOUND,CAR NAME,PREPARED BY,CURVE-TANG,ROADMASTER,JOINT-WELD,ROLLED YEAR,MILL,WEIGHT,MGT,AGE,CUM MGT
16191,GL,NEW CASTLE,BG,117.97,2,M,L,TW,15.0,01/17/2011,S955,SRS,L,G80,,1957.0,UI,140.0,32.47,55.0,803.6325
16192,GL,NEW CASTLE,BG,185.49,2,M,L,HSH,2.0,01/12/2011,S955,SRS,L,G75,,1971.0,BL,122.0,32.47,41.0,785.4493
16193,GL,INDIANAPOLIS LINE,QI,139.1,1,M,L,TDD,20.0,01/10/2011,SERV,H4237,L,159, ,1990.0,,132.0,27.25,22.0,467.61
16194,GL,INDIANAPOLIS LINE,QI,139.12,1,M,L,TDD,20.0,01/10/2011,SERV,H4237,L,159, ,1976.0,,140.0,27.25,36.0,627.84
16195,GL,INDIANAPOLIS LINE,QI,162.837,1,M,R,TW,80.0,01/07/2011,D024,DPS,L,161,,1946.0,UC,131.0,27.25,66.0,611.49
16196,GL,INDIANAPOLIS LINE,QI,180.913,1,M,R,EFBW,15.0,01/06/2011,D024,DPS,L,161,,1947.0,UC,133.0,27.25,65.0,619.9375
16197,GL,ERIE WEST,QD,112.21,2,M,R,EFBW,20.0,01/05/2011,S956,SRS,L,260,,1970.0,BS,140.0,56.0,42.0,1364.16
16198,GL,INDIANAPOLIS LINE,QI,249.988,1,M,L,TDC,75.0,01/04/2011,D024,DPS,L,161,,1986.0,BS,132.0,27.25,26.0,524.29
16199,GL,INDIANAPOLIS LINE,QI,249.847,1,M,L,TDD,30.0,01/04/2011,D024,DPS,L,161,,1976.0,BS,132.0,27.25,36.0,627.84
16200,GL,INDIANAPOLIS LINE,QII,246.602,1,M,R,TW,20.0,01/04/2011,D024,DPS,L,161,,1994.0,BS,136.0,27.25,18.0,402.21
16201,GL,NEW CASTLE,BG,64.5,1,M,L,BRO,,12/31/2012,SERV,,T,G80, ,,,122.0,31.86,,
16202,GL,ERIE WEST,QD,110.5,2,M,R,CH,,12/29/2011,SERV,V2750,T,260, ,1970.0,UI,140.0,56.0,42.0,1364.16
16203,GL,GARRETT EAST,BI,65.5,2,M,L,BB,,12/29/2010,SERV,E8246,T,G65, ,1981.0,TH,122.0,63.89,30.0,1341.69
16204,GL,GARRETT EAST,BI,108.34,2,M,R,CH,12.0,12/29/2010,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,42.0,1556.3604
16205,GL,GARRETT EAST,BI,106.74,2,M,L,TDD,20.0,12/29/2010,S978,SRS,T,G65,,1969.0,UI,122.0,63.89,42.0,1556.3604
16206,GL,GARRETT EAST,BI,107.11,2,M,L,TDD,20.0,12/29/2010,S978,SRS,T,G65,,1969.0,UI,122.0,63.89,42.0,1556.3604
16207,GL,GARRETT EAST,BI,106.29,2,M,R,TW,10.0,12/29/2010,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,42.0,1556.3604
16208,GL,GARRETT EAST,BI,110.27,2,M,R,TW,10.0,12/29/2010,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,42.0,1556.3604
16209,GL,GARRETT EAST,BI,108.88,2,M,L,TW,30.0,12/29/2010,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,42.0,1556.3604
16210,GL,GARRETT EAST,BI,104.33,2,M,L,TW,40.0,12/29/2010,S978,SRS,T,G65,,1969.0,UI,122.0,63.89,42.0,1556.3604
16211,GL,GARRETT EAST,BI,111.52,2,M,L,TW,40.0,12/29/2010,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,42.0,1556.3604
16212,GL,GARRETT EAST,BI,65.1,2,M,L,BB,,12/28/2010,SERV,E8246,T,G65, ,1981.0,TH,122.0,63.89,30.0,1341.69
16213,GL,GARRETT EAST,BI,103.0,2,M,R,EFBW,10.0,12/28/2010,S978,SRS,T,G65,,1967.0,BL,122.0,63.89,44.0,1574.2496
16214,GL,GARRETT EAST,BI,97.23,2,M,L,FH,12.0,12/28/2010,S978,SRS,T,G65,,1997.0,BS,136.0,63.89,14.0,769.2356
16215,GL,GARRETT EAST,BI,103.19,2,M,L,TDD,20.0,12/28/2010,S978,SRS,T,G65,,1969.0,UI,122.0,63.89,42.0,1556.3604
16216,GL,GARRETT EAST,BI,86.39,2,M,L,TW,10.0,12/28/2010,S978,SRS,T,G65,,1972.0,BL,122.0,63.89,39.0,1519.9431
16217,GL,SCOTTSLAWN,QT,113.2,SG,M,R,CH,,12/27/2010,SERV,V2750,T,160, ,1952.0,,127.0,37.03,59.0,895.7557
16218,GL,GARRETT EAST,BI,82.62,2,M,L,FH,10.0,12/27/2010,S978,SRS,T,G65,,1972.0,UI,122.0,63.89,39.0,1519.9431
16219,GL,GARRETT EAST,BI,63.35,2,M,L,FH,11.0,12/27/2010,S978,SRS,T,G65,,1981.0,KR,122.0,63.89,30.0,1341.69
16220,GL,GARRETT EAST,BI,82.75,2,M,L,FH,12.0,12/27/2010,S978,SRS,T,G65,,1972.0,UI,122.0,63.89,39.0,1519.9431
16221,GL,SCOTTSLAWN,QT,112.3,SG,M,R,CH,,12/26/2010,SERV,V2750,T,160, ,1951.0,UI,127.0,37.03,60.0,888.72
16222,GL,GARRETT EAST,BI,71.3,1,M,L,TDT,,12/24/2012,SERV,,T,G65, ,,BL,122.0,57.15,,
16223,GL,ERIE WEST,QD,30.183,2,M,R,BHB,1.0,12/22/2011,S956,SRS,T,123,,1964.0,BS,132.0,56.0,48.0,1397.76
16224,GL,GREENWICH,QI,14.963,1,M,R,EFBW,10.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16225,GL,GREENWICH,QI,27.158,1,M,L,EFBW,20.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16226,GL,GREENWICH,QI,14.892,1,M,R,EFBW,60.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16227,GL,NEW CASTLE,BG,56.38,2,M,R,TDD,10.0,12/22/2011,S955,SRS,T,C15,,1968.0,UI,132.0,32.47,44.0,800.0608
16228,GL,GREENWICH,QI,27.593,1,M,L,TDD,15.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16229,GL,GREENWICH,QI,19.942,1,M,R,TDD,30.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16230,GL,GREENWICH,QI,35.31,1,M,R,TDD,50.0,12/22/2011,S978,SRS,T,159,,1987.0,BS,132.0,59.64,25.0,1118.25
16231,GL,GREENWICH,QI,24.053,1,M,L,TW,10.0,12/22/2011,S978,SRS,T,159,,1979.0,UI,132.0,59.64,33.0,1318.6404
16232,GL,GREENWICH,QI,17.924,1,M,L,TW,20.0,12/22/2011,S978,SRS,T,159,,1985.0,BS,132.0,59.64,27.0,1175.5044
16233,GL,GREENWICH,QI,20.403,1,M,L,TW,40.0,12/22/2011,S978,SRS,T,159,,1976.0,UI,140.0,59.64,36.0,1374.1056
16234,GL,GARRETT EAST,BI,74.423,2,M,R,TW,10.0,12/21/2012,S978,SRS,T,G65,,1987.0,TH,136.0,63.89,26.0,1229.2436
16235,GL,GREENWICH,QI,37.464,1,M,R,EFBW,60.0,12/21/2011,S978,SRS,T,159,,1976.0,BS,140.0,59.64,36.0,1374.1056
16236,GL,ERIE WEST,QD,64.166,2,M,R,VSH,4.0,12/21/2011,S956,SRS,T,123,,1973.0,UI,140.0,56.0,39.0,1332.24
16237,GL,GARRETT EAST,BI,110.656,2,M,R,EFBW,10.0,12/20/2012,S978,SRS,T,G65,,1969.0,BL,122.0,63.89,44.0,1574.2496
16238,GL,GARRETT EAST,BI,113.806,2,M,L,FH,10.0,12/20/2012,S978,SRS,T,G65,,1997.0,BS,136.0,63.89,16.0,858.6816
16239,GL,GARRETT EAST,BI,116.699,2,M,R,FH,10.0,12/20/2012,S978,SRS,T,G65,,1997.0,BS,136.0,63.89,16.0,858.6816
16240,GL,GARRETT EAST,BI,122.103,2,M,R,HW,2.0,12/20/2012,S978,SRS,T,G65,,1997.0,BS,136.0,63.89,16.0,858.6816
16241,GL,GARRETT EAST,BI,65.6,1,M,L,DR,,12/20/2011,SERV,U4287,T,G65, ,1986.0,BS,136.0,57.15,26.0,1099.566
16242,GL,GARRETT EAST,BI,67.5,1,M,L,DR,,12/20/2011,SERV,U4287,T,G65, ,1981.0,BL,122.0,57.15,31.0,1222.4385
16243,GL,ERIE WEST,QD,85.468,2,M,R,TDD,15.0,12/20/2011,S956,SRS,T,123,,1979.0,UT,132.0,56.0,33.0,1238.16
16244,GL,ERIE WEST,QD,49.85,1,M,L,CH,16.0,12/20/2010,S956,SRS,T,123,,1972.0,BS,140.0,46.93,39.0,1116.4647
16245,GL,WILLARD TERMINAL,BI,1.58,2,M,R,VSH,8.0,12/19/2012,S978,SRS,T,H10,J,1951.0,IN,132.0,63.22,62.0,1489.4632
16246,GL,WILLARD,BI,62.462,1,M,R,BHB,1.0,12/19/2011,S978,SRS,T,G65,J,2009.0,OT,136.0,59.0,3.0,171.69
16247,GL,WILLARD,BI,62.461,1,M,L,BHB,2.0,12/19/2011,S978,SRS,T,G65,J,2006.0,OT,136.0,59.0,6.0,332.76
16248,GL,WILLARD,BI,62.47,1,M,L,BHB,2.0,12/19/2011,S978,SRS,T,G65,J,2006.0,OT,136.0,59.0,6.0,332.76
16249,GL,WILLARD,BI,62.16,1,M,R,TDD,10.0,12/19/2011,S978,SRS,T,G65,,1997.0,TH,122.0,59.0,15.0,752.25
16250,GL,ERIE WEST,QD,112.583,2,M,R,TW,15.0,12/19/2011,S956,SRS,T,260,,1970.0,BS,140.0,56.0,42.0,1364.16
16251,GL,WILLARD TERMINAL,BG,198.243,2,M,R,TDD,40.0,12/18/2012,S978,SRS,T,G75,,1997.0,BS,136.0,63.22,16.0,849.6768
16252,GL,WILLARD TERMINAL,BG,198.068,2,M,R,TW,20.0,12/18/2012,S978,SRS,T,G75,,1980.0,BS,122.0,63.22,33.0,1397.7942
16253,GL,INDIANAPOLIS LINE,QI,247.42,2,M,R,TW,,12/18/2011,SERV,V0567,T,161,W,2005.0,IG,136.0,22.59,7.0,147.0609
16254,GL,WILLARD TERMINAL,BG,195.353,1,M,R,CH,10.0,12/17/2012,S978,SRS,T,G75,,1966.0,BL,122.0,53.4,47.0,1330.194
16255,GL,WILLARD TERMINAL,BG,195.698,1,M,R,EFBW,20.0,12/17/2012,S978,SRS,T,G75,,1966.0,BL,122.0,53.4,47.0,1330.194
16256,GL,WILLARD,BI,25.661,2,M,L,EFBW,40.0,12/17/2012,S978,SRS,T,H10,,1970.0,BL,122.0,66.56,43.0,1631.3856
16257,GL,GREENWICH,QI,30.84,1,M,L,EFBW,40.0,12/17/2010,S978,SRS,T,159,,1979.0,UI,132.0,59.64,32.0,1297.7664
16258,GL,GREENWICH,QI,29.62,1,M,L,FH,10.0,12/17/2010,S978,SRS,T,159,,1979.0,UT,132.0,59.64,32.0,1297.7664
16259,GL,GREENWICH,QI,35.84,1,M,L,TDD,40.0,12/17/2010,S978,SRS,T,159,,1983.0,BS,132.0,59.64,28.0,1202.3424
16260,GL,WILLARD,BI,48.97,1,M,R,BHB,1.5,12/16/2011,S978,SRS,T,G65,J,1997.0,TH,122.0,59.0,15.0,752.25
16261,GL,WILLARD,BI,42.071,1,M,L,EFBW,20.0,12/16/2011,S978,SRS,T,G65,,1969.0,UI,122.0,59.0,43.0,1446.09
16262,GL,WILLARD,BI,40.701,1,M,L,TW,40.0,12/16/2011,S978,SRS,T,G65,,1978.0,BL,122.0,59.0,34.0,1323.96
16263,GL,WILLARD,BI,54.731,1,M,L,VSH,5.0,12/16/2011,S978,SRS,T,G65,,1977.0,BL,122.0,59.0,35.0,1342.25
16264,GL,WILLARD,BI,42.05,1,M,L,BRO,,12/16/2010,SERV,K6509,T,G65, ,,,122.0,59.0,,
16265,GL,GREENWICH,QI,36.12,1,M,L,TDD,10.0,12/16/2010,S978,SRS,T,159,,1979.0,UI,132.0,59.64,32.0,1297.7664
16266,GL,GREENWICH,QI,36.54,1,M,L,TDD,30.0,12/16/2010,S978,SRS,T,159,,1979.0,UI,132.0,59.64,32.0,1297.7664
16267,GL,GREENWICH,QI,54.37,1,M,R,TW,10.0,12/16/2010,S978,SRS,T,159,,2007.0,BS,136.0,59.64,4.0,229.0176
16268,GL,GREENWICH,QI,39.81,1,M,R,TW,20.0,12/16/2010,S978,SRS,T,159,,1976.0,BL,140.0,59.64,35.0,1356.81
16269,GL,GREENWICH,QI,45.79,1,M,R,TW,30.0,12/16/2010,S978,SRS,T,159,,1976.0,UI,140.0,59.64,35.0,1356.81
16270,GL,FOSTORIA,BI,36.536,1,M,L,BHB,1.0,12/15/2011,S978,SRS,T,G65,J,2006.0,OT,136.0,56.5,6.0,318.66
16271,GL,WILLARD,BI,25.644,1,M,R,BHB,1.0,12/15/2011,S978,SRS,T,H10,J,2006.0,OT,136.0,59.0,6.0,332.76
16272,GL,ERIE WEST,QD,140.15,2,M,L,HW,8.0,12/15/2011,S956,SRS,T,260,,1993.0,BS,136.0,56.0,19.0,861.84
16273,GL,ERIE WEST,QD,145.251,2,M,L,TDD,20.0,12/15/2011,S956,SRS,T,260,,1973.0,UI,140.0,56.0,39.0,1332.24
16274,GL,ERIE WEST,QD,145.347,2,M,L,TW,15.0,12/15/2011,S956,SRS,T,260,,1975.0,UI,140.0,56.0,37.0,1305.36
16275,GL,CLEVELAND TERMINAL,QD,174.57,1,M,R,EFBW,20.0,12/15/2010,S978,SRS,T,261,,1950.0,BL,127.0,34.4,61.0,818.376
16276,GL,CLEVELAND SHORT LINE,QDS,8.03,1,M,L,HW,3.0,12/15/2010,S978,SRS,T,261,,1996.0,BS,136.0,55.62,15.0,709.155
16277,GL,CLEVELAND SHORT LINE,QDS,19.65,1,M,L,SD,7.0,12/15/2010,S978,SRS,T,261,,1988.0,BS,132.0,55.62,23.0,985.0302
16278,GL,WILLARD,BI,14.381,2,M,R,BHB,0.5,12/14/2012,S978,SRS,T,H10,,1970.0,UI,122.0,66.56,43.0,1631.3856
16279,GL,WILLARD,BI,25.253,2,M,L,EFBW,15.0,12/14/2012,S978,SRS,T,H10,,1970.0,BL,122.0,66.56,43.0,1631.3856
16280,GL,WILLARD,BI,9.734,2,M,R,FH,10.0,12/14/2012,S978,SRS,T,H10,,1971.0,BS,122.0,66.56,42.0,1621.4016
16281,GL,WILLARD,BI,8.538,1,M,L,EFBW,40.0,12/14/2011,S978,SRS,T,H10,,1965.0,BL,122.0,59.0,47.0,1469.69
16282,GL,WILLARD,BI,8.12,1,M,R,SD,6.0,12/14/2011,S978,SRS,T,H10,,1965.0,BL,122.0,59.0,47.0,1469.69
16283,GL,WILLARD,BI,15.229,1,M,R,TW,30.0,12/14/2011,S978,SRS,T,H10,,1969.0,BL,122.0,59.0,43.0,1446.09
