,LATITUDE,LONGITUDE,EXCEPTION TYPE
887,38.308864,82.578543,PROFILE LEFT 62FT
888,38.308869,82.578541,PROFILE RIGHT 62FT
889,38.308869,82.578541,PROFILE RIGHT 62FT
890,38.308759,82.578577,WARP 31FT
891,38.308759,82.578577,WARP 31FT
892,38.308928,82.57853,WARP 31FT
893,37.600541,82.519794,ALIGNMENT LEFT
894,37.600536,82.519796,ALIGNMENT RIGHT
895,38.308844,82.578556,PROFILE LEFT 62FT
896,38.308844,82.578556,PROFILE LEFT 62FT
897,38.308834,82.578559,PROFILE RIGHT 62FT
898,38.308834,82.578559,PROFILE RIGHT 62FT
899,37.600525,82.519777,ALIGNMENT LEFT
900,37.60055,82.51976,ALIGNMENT RIGHT
901,38.308899,82.578421,ALIGNMENT LEFT
902,38.308904,82.578418,ALIGNMENT RIGHT
903,37.60077,82.519674,ALIGNMENT LEFT
904,37.60077,82.519674,ALIGNMENT RIGHT
905,37.600675,82.51973,WARP 31FT
906,37.600713,82.519701,WARP 31FT
907,38.308821,82.578454,ALIGNMENT LEFT
908,38.308806,82.578461,ALIGNMENT RIGHT
909,37.254059,82.329042,LEFT RAIL CANT
910,37.253785,82.328251,RIGHT RAIL CANT
911,37.252244,82.33032,LEFT RAIL CANT
912,37.252071,82.33039,LEFT RAIL CANT
913,37.251922,82.330456,RIGHT RAIL CANT
914,37.369385,82.550961,ALIGNMENT LEFT
915,37.369385,82.550961,ALIGNMENT LEFT
916,37.369385,82.550961,ALIGNMENT RIGHT
917,37.369385,82.550961,ALIGNMENT RIGHT
918,37.36924,82.55113,ALIGNMENT LEFT
919,37.36924,82.55113,ALIGNMENT LEFT
920,37.369228,82.551145,ALIGNMENT RIGHT
921,37.369228,82.551145,ALIGNMENT RIGHT
922,37.251817,82.330496,LEFT RAIL CANT
923,37.251888,82.330473,LEFT RAIL CANT
924,37.251315,82.32915,LEFT RAIL CANT
925,37.251315,82.32915,LEFT RAIL CANT
926,37.251682,82.330516,LEFT RAIL CANT
927,37.251758,82.330516,LEFT RAIL CANT
928,37.251399,82.330527,RIGHT RAIL CANT
929,37.251348,82.33052,RIGHT RAIL CANT
930,37.251476,82.330524,LEFT RAIL CANT
931,36.906267,82.499533,LEFT RAIL CANT
932,37.251265,82.330506,RIGHT RAIL CANT
933,37.251243,82.330496,RIGHT RAIL CANT
934,37.251291,82.330504,LEFT RAIL CANT
935,37.251328,82.330516,LEFT RAIL CANT
936,37.251219,82.330493,LEFT RAIL CANT
937,36.906528,82.499494,LEFT RAIL CANT
938,37.251366,82.330732,LEFT RAIL CANT
939,37.251005,82.330403,RIGHT RAIL CANT
940,37.368639,82.551977,ALIGNMENT LEFT
941,37.368639,82.551977,ALIGNMENT LEFT
942,37.368639,82.551977,ALIGNMENT RIGHT
943,37.368639,82.551977,ALIGNMENT RIGHT
944,36.985474,82.305891,ALIGNMENT LEFT
945,36.985474,82.305891,ALIGNMENT LEFT
946,36.985474,82.305891,ALIGNMENT LEFT
947,36.985474,82.305891,ALIGNMENT RIGHT
948,36.985474,82.305891,ALIGNMENT RIGHT
949,37.251065,82.33043,LEFT RAIL CANT
950,37.250789,82.330301,RIGHT RAIL CANT
951,37.368574,82.552105,ALIGNMENT LEFT
952,37.368574,82.552105,ALIGNMENT LEFT
953,37.368571,82.552111,ALIGNMENT RIGHT
954,37.368571,82.552111,ALIGNMENT RIGHT
955,36.906875,82.499396,ALIGNMENT LEFT
956,36.906875,82.499396,ALIGNMENT RIGHT
957,37.25096,82.330404,LEFT RAIL CANT
958,37.25092,82.330365,LEFT RAIL CANT
959,37.251136,82.330472,LEFT RAIL CANT
960,37.250633,82.33018,RIGHT RAIL CANT
961,37.250671,82.330206,RIGHT RAIL CANT
962,37.250867,82.330357,LEFT RAIL CANT
963,37.250679,82.330244,LEFT RAIL CANT
964,37.250907,82.330436,LEFT RAIL CANT
965,37.25096,82.330421,LEFT RAIL CANT
966,37.250609,82.330155,RIGHT RAIL CANT
967,36.985474,82.305891,WIDE GAGE
968,40.066338,83.047246,ALIGNMENT LEFT
969,40.066338,83.047246,ALIGNMENT RIGHT
970,37.250536,82.330107,LEFT RAIL CANT
971,36.9072,82.499252,LEFT RAIL CANT
972,37.250726,82.330493,LEFT RAIL CANT
973,37.250611,82.330538,LEFT RAIL CANT
974,37.250611,82.330538,LEFT RAIL CANT
975,37.250611,82.330538,RIGHT RAIL CANT
976,37.25052,82.330093,WIDE GAGE
977,37.250716,82.330497,WIDE GAGE
978,37.250513,82.330078,LEFT RAIL CANT
979,37.250525,82.330092,LEFT RAIL CANT
980,36.907316,82.499188,LEFT RAIL CANT
981,36.907428,82.499118,LEFT RAIL CANT
982,37.25057,82.330555,LEFT RAIL CANT
983,37.25057,82.330555,LEFT RAIL CANT
984,37.250492,82.33059,LEFT RAIL CANT
985,37.250492,82.33059,LEFT RAIL CANT
986,37.250492,82.33059,RIGHT RAIL CANT
987,37.250549,82.330564,RIGHT RAIL CANT
988,37.250544,82.330567,RIGHT RAIL CANT
989,37.364112,82.556162,ALIGNMENT LEFT
990,37.364101,82.556166,ALIGNMENT LEFT
991,37.364095,82.556175,ALIGNMENT RIGHT
992,37.364101,82.556166,ALIGNMENT RIGHT
993,37.364101,82.556166,WARP 31FT
994,37.364017,82.556211,WARP 31FT
995,37.364143,82.556179,WARP 62FT
996,37.368123,82.553373,ALIGNMENT LEFT
997,37.368123,82.553373,ALIGNMENT RIGHT
998,37.364054,82.556219,CROSSLEVEL
999,37.364054,82.556219,WARP 31FT
1000,37.368073,82.553599,ALIGNMENT LEFT
1001,37.368076,82.553585,ALIGNMENT RIGHT
1002,37.368073,82.553599,CLIM
1003,37.368092,82.553505,CLIM
1004,37.36797,82.55422,ALIGNMENT LEFT
1005,37.36797,82.55422,ALIGNMENT RIGHT
1006,37.362501,82.556183,CROSSLEVEL
1007,37.362519,82.556208,WARP 31FT
1008,37.362512,82.556186,WARP 31FT
1009,37.361038,82.556294,WARP 31FT
1010,37.361068,82.556278,WARP 62FT
1011,38.300002,82.582259,PROFILE LEFT 62FT
1012,38.300002,82.582259,PROFILE LEFT 62FT
1013,38.299918,82.582315,PROFILE LEFT 62FT
1014,38.299889,82.582334,WARP 31FT
1015,38.298781,82.583055,CROSSLEVEL
1016,38.298924,82.582995,CROSSLEVEL
1017,38.298741,82.583088,WARP 31FT
1018,38.298741,82.583088,WARP 31FT
1019,38.298857,82.58302,WARP 31FT
1020,38.298857,82.58302,WARP 31FT
1021,38.298976,82.582967,WARP 31FT
1022,38.298976,82.582967,WARP 31FT
1023,38.298797,82.583049,WARP 62FT
1024,38.298742,82.583088,WARP 31FT
1025,38.298742,82.583088,WARP 31FT
1026,38.298986,82.582962,WARP 31FT
1027,38.298986,82.582962,WARP 31FT
1028,38.298838,82.583042,WARP 31FT
1029,38.298838,82.583042,WARP 31FT
1030,38.298685,82.583097,WARP 31FT
1031,38.298685,82.583097,WARP 31FT
1032,38.298833,82.583045,WARP 62FT
1033,38.298833,82.583045,WARP 62FT
1034,37.595504,82.506885,CROSSLEVEL
1035,37.595463,82.506789,WARP 62FT
1036,37.537849,82.790465,GWR 2ND LEVEL
1037,37.537819,82.790496,GWR 2ND LEVEL
1038,37.537912,82.790403,GWR 2ND LEVEL
1039,37.537879,82.79044,PLG 24 2ND LEVEL
1040,37.537819,82.790496,PLG 24 2ND LEVEL
1041,37.537858,82.790463,PLG 24 2ND LEVEL
1042,37.537912,82.790403,PLG 24 2ND LEVEL
1043,37.537693,82.790621,RIGHT RAIL CANT
1044,37.537594,82.790673,GWR 2ND LEVEL
1045,37.537553,82.790706,PLG 24 2ND LEVEL
1046,37.537594,82.790673,PLG 24 2ND LEVEL
1047,37.537514,82.790724,GWR 2ND LEVEL
1048,37.537514,82.790724,PLG 24 2ND LEVEL
1049,37.537251,82.790852,GWR 1ST LEVEL
1050,37.537277,82.79084,GWR 1ST LEVEL
1051,37.537277,82.79084,GWR 2ND LEVEL
1052,37.537251,82.790852,GWR 2ND LEVEL
1053,37.537261,82.790847,LOADED GAGE
1054,37.537261,82.790847,LOADED GAGE
1055,37.537251,82.790852,PLG 24 1ST LEVEL
1056,37.537277,82.79084,PLG 24 1ST LEVEL
1057,37.537277,82.79084,PLG 24 2ND LEVEL
1058,37.537251,82.790852,PLG 24 2ND LEVEL
1059,37.537193,82.790915,WARP 31FT
1060,37.537251,82.790852,LOADED GAGE
1061,37.537251,82.790852,LOADED GAGE
1062,37.537123,82.790899,PLG 24 2ND LEVEL
1063,37.537066,82.790911,LOADED GAGE
1064,37.537071,82.790909,PLG 24 2ND LEVEL
1065,37.536363,82.790984,ALIGNMENT LEFT
1066,37.536363,82.790984,ALIGNMENT RIGHT
1067,37.536642,82.790967,GWR 2ND LEVEL
1068,37.536642,82.790967,LOADED GAGE
1069,37.536647,82.790966,PLG 24 2ND LEVEL
1070,37.536166,82.790906,ALIGNMENT LEFT
1071,37.536166,82.790906,ALIGNMENT RIGHT
1072,37.536014,82.79085,ALIGNMENT LEFT
1073,37.536014,82.79085,ALIGNMENT LEFT
1074,37.536014,82.79085,ALIGNMENT RIGHT
1075,37.536014,82.79085,ALIGNMENT RIGHT
1076,37.360449,82.568126,ALIGNMENT LEFT
1077,37.360451,82.56814,ALIGNMENT RIGHT
1078,37.360432,82.56793,WARP 31FT
1079,37.360466,82.568313,ALIGNMENT LEFT
1080,37.360466,82.568313,ALIGNMENT LEFT
1081,37.360477,82.568136,ALIGNMENT LEFT
1082,37.36048,82.568304,ALIGNMENT LEFT
1083,37.360467,82.56832,ALIGNMENT RIGHT
1084,37.360467,82.56832,ALIGNMENT RIGHT
1085,37.360477,82.568136,ALIGNMENT RIGHT
1086,37.360477,82.568136,ALIGNMENT RIGHT
1087,37.360465,82.568285,WARP 31FT
1088,37.360571,82.568285,WARP 31FT
